Sales Organization;Item (SD);Sales Document;Status;Status;Sales Document Type;Sold-to party;Name 1;Material;Description;Plant;Confirmed Quantity;Order Quantity;Unit of measure;Delivery Date;Ship-to party;Ship-To Name;Purchase order no.;Goods Issue Date
A131;10;137246639;Not delivered;A;ZKB;679010;TECNOCALCHIN SRL;00097027005;RFG22RR C21 RR COR RCMQ BG80UK AR;C049;9;9;ZPB;09/09/2021;679010;TECNOCALCHIN SRL;0000003958 TRANSFERE;07/09/2021
A131;20;137246639;Not delivered;A;ZKB;679010;TECNOCALCHIN SRL;00097029365;NEXT 22.6PWU C19 PWU COR RCMQ BG80UK AR;C049;43;43;ZPB;09/09/2021;679010;TECNOCALCHIN SRL;0000003958 TRANSFERE;07/09/2021
A131;10;137246407;Not delivered;A;ZKB;422202;LA BRAGADENSE SOCIEDAD ANONIMA;00011118107;LONTREL3A BTLHPE4X5L ARG;C077;500,000;500,000;L;30/12/2021;422202;LA BRAGADENSE SOCIEDAD ANONIMA;C0000006624 Z11;29/12/2021
A131;10;137246325;Not delivered;A;ZKB;2347157;TERY TERRA S.R.L.;00097065296;MERITWGPACK CPKHPE 4X(1.4+0.1)KG ARG;C074;67;67;EA;01/09/2021;2347157;TERY TERRA S.R.L.;Traspaso desde Terra;01/09/2021
A131;11;137246325;Not delivered;A;ZKB;2347157;TERY TERRA S.R.L.;00097062225;MERITWG BTLHPE4X1.4KG ARG;C074;93,800;93,800;KG;01/09/2021;2347157;TERY TERRA S.R.L.;Traspaso desde Terra;01/09/2021
A131;12;137246325;Not delivered;A;ZKB;2347157;TERY TERRA S.R.L.;00097062196;METSULFURON PCKALM0.1KG ARG;C074;6,700;6,700;KG;01/09/2021;2347157;TERY TERRA S.R.L.;Traspaso desde Terra;01/09/2021
A131;10;137246070;Not delivered;A;ZKB;1693739;VETAGRO SRL;00097050308;PANZERGOLDLS BTLHPE20L ARG;C077;10.800,000;10.800,000;L;30/12/2021;1693739;VETAGRO SRL;C0000006620 Z11;28/12/2021
A131;10;137246069;Not delivered;A;ZKB;2347160;RAYSER AGRO S.R.L.;00097050308;PANZERGOLDLS BTLHPE20L ARG;C077;21.600,000;21.600,000;L;30/12/2021;2347160;RAYSER AGRO S.R.L.;C0000006619 Z11;28/12/2021
A131;10;137246046;Not delivered;A;ZOR;827369;TERRAMAR JV S.A.;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;21;21;ZPB;08/09/2021;10012736;TERRAMAR S.A;0000004587 Z01 FACTU;06/09/2021
A131;10;137246039;Not delivered;A;ZOR;827369;TERRAMAR JV S.A.;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;147;147;ZPB;09/09/2021;1846031;TERRAMAR JV S.A.;0000004585 Z01 FACTU;06/09/2021
A131;10;137246038;Not delivered;A;ZOR;827369;TERRAMAR JV S.A.;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;57;57;ZPB;09/09/2021;2105639;TERRAMAR JV S.A.;0000004582 Z01 FACTU;07/09/2021
A131;10;137246036;Not delivered;A;ZOR;827369;TERRAMAR JV S.A.;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;130;130;ZPB;08/09/2021;1274337;TERRAMAR JV S.A.;0000004586 Z01 FACTU;06/09/2021
A131;10;137245871;Not delivered;A;ZKB;1358971;AGRONORTE CEREALES SRL;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;111;111;ZPB;03/09/2021;1358971;AGRONORTE CEREALES SRL;0000004581b Z11;02/09/2021
A131;20;137245871;Not delivered;A;ZKB;1358971;AGRONORTE CEREALES SRL;00097029369;NEXT 22.6PWE R19 PWE COR RCMQ BG80UK AR;C049;206;206;ZPB;03/09/2021;1358971;AGRONORTE CEREALES SRL;0000004581b Z11;02/09/2021
A131;10;137245870;Not delivered;A;ZKB;1362701;COMPANIA DE INSUMOS Y GRANOS;00097077143;PIXXARO BTLFPE4X5L ARG;C077;100,000;100,000;L;22/09/2021;1362701;COMPANIA DE INSUMOS Y GRANOS;C0000006616 Z11;21/09/2021
A131;10;137245713;Not delivered;A;ZKB;827371;UBAJAY DAS S.A.;00000180726;CLINCHEREC BTLCOX4X5L ARG;C077;2.000,000;2.000,000;L;01/12/2021;1845222;UBAJAY DAS S.A.;C0000006614 TRANSFER;30/11/2021
A131;10;137245685;Not delivered;A;ZKB;827371;UBAJAY DAS S.A.;00097059701;ENLIST BTLHPE20L ARG;C077;21.600,000;21.600,000;L;30/11/2021;1845222;UBAJAY DAS S.A.;C0000006613 TRANSFER;29/11/2021
A131;20;137245685;Not delivered;A;ZKB;827371;UBAJAY DAS S.A.;00097059701;ENLIST BTLHPE20L ARG;C077;2.400,000;2.400,000;L;30/11/2021;1845222;UBAJAY DAS S.A.;C0000006613 TRANSFER;29/11/2021
A131;10;70451840;Open;A;ZVEF;1320212;TIROLESA SA;00097072868;NEXT 25.8PWU C17 COR CT CMQL BG80UK AR;C344;40;40;ZPB;;1108872;AGRO LAJITAS SA;1/0000003653 Z11;
A131;20;70451840;Open;A;ZVEF;1320212;TIROLESA SA;00099017480;RFG1RR C17 RR COR RCMQ BG80UK AR;C344;4;4;ZPB;;1108872;AGRO LAJITAS SA;1/0000003653 Z11;
A131;10;137245288;Not delivered;A;ZKB;679010;TECNOCALCHIN SRL;00000115146;SPIDER PCHALM10X5X0.10KG ARG;C077;20,000;20,000;KG;23/09/2021;679010;TECNOCALCHIN SRL;C0000006609 TRANSFER;22/09/2021
A131;20;137245288;Not delivered;A;ZKB;679010;TECNOCALCHIN SRL;00099037837;SPIDERXTRA CPKCOX5L+0.33KG ARG;C077;40;40;UNT;23/09/2021;679010;TECNOCALCHIN SRL;C0000006609 TRANSFER;22/09/2021
A131;21;137245288;Not delivered;A;ZKB;679010;TECNOCALCHIN SRL;00099037629;SPIDER BTLHPE0.33KG ARG;C077;52,800;52,800;KG;23/09/2021;679010;TECNOCALCHIN SRL;C0000006609 TRANSFER;22/09/2021
A131;22;137245288;Not delivered;A;ZKB;679010;TECNOCALCHIN SRL;00099037725;CAPAZ50SC BTLHPE5L ARG;C077;800,000;800,000;L;23/09/2021;679010;TECNOCALCHIN SRL;C0000006609 TRANSFER;22/09/2021
A131;10;137245201;Not delivered;A;ZKB;1140235;HECTOR A BERTONE SA;00097029369;NEXT 22.6PWE R19 PWE COR RCMQ BG80UK AR;C049;1.300;1.300;ZPB;06/09/2021;1140235;HECTOR A BERTONE SA;0000004580 Z11;02/09/2021
A131;10;137245181;Not delivered;A;ZOR;249737;RUTILAN SA;00097055390;LOYANT BTLCOX20L URY;C077;2.200,000;2.200,000;L;29/11/2021;249737;RUTILAN SA;21 - 4477;29/11/2021
A131;10;137245163;Not delivered;A;ZKB;348756;AMBITO DAS S.A.;00097081704;BRV54321E E3 SOY 1M UT BG40KG AR;C336;200;200;ZPB;15/10/2021;1031885;AMBITO DAS S.A.;SOJA847226 TRANSFERE;14/10/2021
A131;20;137245163;Not delivered;A;ZKB;348756;AMBITO DAS S.A.;00097081708;BRV54621SE E3 SOY 1M UT BG40KG AR;C336;800;800;ZPB;15/10/2021;1031885;AMBITO DAS S.A.;SOJA847226 TRANSFERE;14/10/2021
A131;10;137245162;Not delivered;A;ZKB;348756;AMBITO DAS S.A.;00097081704;BRV54321E E3 SOY 1M UT BG40KG AR;C336;200;200;ZPB;15/10/2021;10019708;AMBITO DAS SA;SOJA847217 TRANSFERE;14/10/2021
A131;20;137245162;Not delivered;A;ZKB;348756;AMBITO DAS S.A.;00097081708;BRV54621SE E3 SOY 1M UT BG40KG AR;C336;800;800;ZPB;15/10/2021;10019708;AMBITO DAS SA;SOJA847217 TRANSFERE;14/10/2021
A131;10;137245142;Not delivered;A;ZKB;348764;FEDEA S.A.;00097081708;BRV54621SE E3 SOY 1M UT BG40KG AR;C336;1.000;1.000;ZPB;10/09/2021;1843795;FEDEA S.A.;SOJA846660 TRANSFERE;09/09/2021
A131;20;137245142;Not delivered;A;ZKB;348764;FEDEA S.A.;00097081704;BRV54321E E3 SOY 1M UT BG40KG AR;C336;300;300;ZPB;10/09/2021;1843795;FEDEA S.A.;SOJA846660 TRANSFERE;09/09/2021
