Delivery;Item;Reference document;Delivery Type;Sold-to party;Name of sold-to party;Material;Description;Plant;Delivery quantity;Sales unit;Deliv. date(From/to);Ship-to party;Name of the ship-to party;Sales Organization;Goods Issue Date
858650441;30;137150240;LF;422082;DISTRIBUIDORA ROYJO SRL;00097079260;BRV8472PWUN SPR PWU COR CT CMQL BG80UKAR;C049;174;ZPB;03/09/2021;2245367;DISTRIBUIDORA ROYJO SRL;A131;01/09/2021
858650442;10;137219687;LF;732722;CONEXA SA;00099069588;QUINTALXTRA BTLHPE4X5L ARG;C077;200,000;L;03/09/2021;1927429;CONEXA SA;A131;01/09/2021
858650467;10;4230334770;ZLC;811682;RIBOLDI SA;00000098714;PRESIDE BTLHPE4X5L ARG;C077;500,000;L;02/09/2021;811682;RIBOLDI SA;A131;01/09/2021
858650570;10;137150276;LF;348763;DESAB S.A.;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;144;ZPB;02/09/2021;348763;DESAB S.A.;A131;31/08/2021
858650574;10;137200446;LF;348763;DESAB S.A.;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;1.054;ZPB;02/09/2021;348763;DESAB S.A.;A131;31/08/2021
858650639;10;137183889;LF;1755777;AGROPECUARIA DON DAVID SA;00097071071;510PWU R16 PWU COR CT CMQL BG80UK AR;C344;1.000;ZPB;03/09/2021;2071837;ACEITERA GENERAL DEHEZA SA;A131;01/09/2021
858650640;10;137183889;LF;1755777;AGROPECUARIA DON DAVID SA;00097079255;BRV8472PWUN R16 PWU COR CT CMQL BG80UKAR;C049;300;ZPB;03/09/2021;2071837;ACEITERA GENERAL DEHEZA SA;A131;01/09/2021
858650733;10;137236364;LF;1108872;AGRO LAJITAS SA;00097029369;NEXT 22.6PWE R19 PWE COR RCMQ BG80UK AR;C049;252;ZPB;02/09/2021;10030354;AGRO LAJITAS SA;A131;31/08/2021
858650733;20;137236364;LF;1108872;AGRO LAJITAS SA;00097070888;RFG22RRE R21 ERR COR CT RCMQ BG80UK AR;C049;28;ZPB;02/09/2021;10030354;AGRO LAJITAS SA;A131;31/08/2021
858650865;10;4230334878;ZLC;1361482;MORETO DEPOSITO TERCEROS;00097027003;RFG22RR C17 RR COR RCMQ BG80UK AR;C049;360;ZPB;04/09/2021;10014053;MORETO DEPOSITO TERCEROS;A131;02/09/2021
